	sample name	sample type	replicate#	induction	selection coefficient
177	SRC	dead	replicate1	uninduced	0.0016671055297469894
178	SRC	dead	replicate2	induced	0.0016400678046355856
179	SRC	dead	replicate2	uninduced	0.0009561105104213672
180	SRC	dead	replicate3	induced	0.001233161687411731
181	SRC	dead	replicate3	uninduced	0.0006657352347224632
182	SRC	dead	replicate4	induced	0.001294283329399929
183	SRC	dead	replicate4	uninduced	0.0003711094007809055
184	SRC	wt	replicate1	induced	-0.00032793786403607407
185	SRC	wt	replicate1	uninduced	0.0008827574288375689
186	SRC	wt	replicate2	induced	0.00013499793808583865
187	SRC	wt	replicate2	uninduced	3.526544529980705e-05
188	SRC	wt	replicate3	induced	-0.00023535287171044065
189	SRC	wt	replicate3	uninduced	2.073325236459141e-05
190	SRC	wt	replicate4	induced	-0.000765686123331473
191	SRC	wt	replicate4	uninduced	-0.0004694653517839013
192	vSRC	L308A	replicate1	induced	-0.00536541676656333
193	vSRC	L308A	replicate1	uninduced	0.0003564473904988309
194	vSRC	L308A	replicate2	induced	-0.00571263554193056
195	vSRC	L308A	replicate2	uninduced	3.508674264200479e-05
196	vSRC	L308A	replicate3	induced	-0.015913141285624342
197	vSRC	L308A	replicate3	uninduced	-0.00016363635501175395
198	vSRC	L308A	replicate4	induced	-0.015534193849403131
199	vSRC	L308A	replicate4	uninduced	-0.0014639927759906323
200	vSRC	L317A	replicate1	induced	-0.005858771977420843
201	vSRC	L317A	replicate1	uninduced	0.0007449114384591711
202	vSRC	L317A	replicate2	induced	-0.00688842042902578
203	vSRC	L317A	replicate2	uninduced	0.0005928504263362132
204	vSRC	L317A	replicate3	induced	-0.013753503947693164
205	vSRC	L317A	replicate3	uninduced	0.00015956714225757448
206	vSRC	L317A	replicate4	induced	-0.013073506277452199
207	vSRC	L317A	replicate4	uninduced	0.0001747621048481115
208	vSRC	L360A	replicate1	induced	-0.0067299928039682285
209	vSRC	L360A	replicate1	uninduced	0.0011683991348356941
210	vSRC	L360A	replicate2	induced	-0.007048246501570872
211	vSRC	L360A	replicate2	uninduced	0.0009952564575360498
212	vSRC	L360A	replicate3	induced	-0.015470142235413577
213	vSRC	L360A	replicate3	uninduced	0.0002497269669363328
214	vSRC	L360A	replicate4	induced	-0.014716182447235006
215	vSRC	L360A	replicate4	uninduced	0.0003697452836923569
216	vSRC	L393A	replicate1	induced	-0.008371249895217417
217	vSRC	L393A	replicate1	uninduced	0.00025222449301561477
218	vSRC	L393A	replicate2	induced	-0.010558904936476465
219	vSRC	L393A	replicate2	uninduced	-0.00011055750752465614
220	vSRC	L393A	replicate3	induced	-0.01603344379270377
221	vSRC	L393A	replicate3	uninduced	-0.0002991960903841309
222	vSRC	L393A	replicate4	induced	-0.0185806657380208
223	vSRC	L393A	replicate4	uninduced	-0.00030372683053848096
224	vSRC	L435A	replicate1	induced	-0.00804031375740501
225	vSRC	L435A	replicate1	uninduced	0.00026658524056699597
226	vSRC	L435A	replicate2	induced	-0.0120141021958232
227	vSRC	L435A	replicate2	uninduced	0.0007063181608967567
228	vSRC	L435A	replicate3	induced	-0.013872936238413106
229	vSRC	L435A	replicate3	uninduced	-0.0012297868463645573
230	vSRC	L435A	replicate4	induced	-0.013655090915544682
231	vSRC	L435A	replicate4	uninduced	-0.00011151549086150808
232	vSRC	L451A	replicate1	induced	-0.009123474326067646
233	vSRC	L451A	replicate1	uninduced	0.0006958571541682134
234	vSRC	L451A	replicate2	induced	-0.011237304345249948
235	vSRC	L451A	replicate2	uninduced	0.0005141586636112454
236	vSRC	L451A	replicate3	induced	-0.014046977135814421
237	vSRC	L451A	replicate3	uninduced	-4.783891976487343e-05
238	vSRC	L451A	replicate4	induced	-0.014547893072051834
239	vSRC	L451A	replicate4	uninduced	-0.0002662035978222223
240	vSRC	L452A	replicate1	induced	-0.0005504792287081954
241	vSRC	L452A	replicate1	uninduced	-0.00039144245774092127
242	vSRC	L452A	replicate2	induced	-0.0006235167096648993
243	vSRC	L452A	replicate2	uninduced	-0.0002126351535760836
244	vSRC	L452A	replicate3	induced	-0.0005655427757345238
245	vSRC	L452A	replicate3	uninduced	-0.0013598361197161089
246	vSRC	L452A	replicate4	induced	-0.00043347656320477293
247	vSRC	L452A	replicate4	uninduced	-0.0005350824664523203
248	vSRC	L491A	replicate1	induced	-0.007774901038726394
249	vSRC	L491A	replicate1	uninduced	-0.0016509342829095614
250	vSRC	L491A	replicate2	induced	-0.011861088054334027
251	vSRC	L491A	replicate2	uninduced	-0.0019183885118606069
252	vSRC	L491A	replicate3	induced	-0.013537471393986247
253	vSRC	L491A	replicate3	uninduced	-0.0023056665965378053
254	vSRC	L491A	replicate4	induced	-0.012879108783978147
255	vSRC	L491A	replicate4	uninduced	-0.0025452789563958937
256	vSRC	V281A	replicate1	induced	-0.005468459400167005
257	vSRC	V281A	replicate1	uninduced	0.0010960496902462386
258	vSRC	V281A	replicate2	induced	-0.006948938174492063
259	vSRC	V281A	replicate2	uninduced	0.000957693091423944
260	vSRC	V281A	replicate3	induced	-0.010741364218215293
261	vSRC	V281A	replicate3	uninduced	0.00021856677740762908
262	vSRC	V281A	replicate4	induced	-0.01008074885806468
263	vSRC	V281A	replicate4	uninduced	0.0006032976484129722
264	vSRC	V292A	replicate1	induced	-0.005240118060105113
265	vSRC	V292A	replicate1	uninduced	0.0008709275686814713
266	vSRC	V292A	replicate2	induced	-0.007124922742804548
267	vSRC	V292A	replicate2	uninduced	0.0008076398866329695
268	vSRC	V292A	replicate3	induced	-0.014511449375863907
269	vSRC	V292A	replicate3	uninduced	-0.00025364795146640953
270	vSRC	V292A	replicate4	induced	-0.014146192762080508
271	vSRC	V292A	replicate4	uninduced	0.0002850131185058671
272	vSRC	V329A	replicate1	induced	-0.0058907331875179495
273	vSRC	V329A	replicate1	uninduced	0.0008073905798088647
274	vSRC	V329A	replicate2	induced	-0.006701406752277255
275	vSRC	V329A	replicate2	uninduced	0.0007149553193940695
276	vSRC	V329A	replicate3	induced	-0.014372486996505101
277	vSRC	V329A	replicate3	uninduced	8.701010575831498e-05
278	vSRC	V329A	replicate4	induced	-0.013990400530692629
279	vSRC	V329A	replicate4	uninduced	0.0002247994295160946
280	vSRC	V383A	replicate1	induced	-0.00782573010744319
281	vSRC	V383A	replicate1	uninduced	0.00031014382561602013
282	vSRC	V383A	replicate2	induced	-0.008426774955926334
283	vSRC	V383A	replicate2	uninduced	-0.0003100515787141772
284	vSRC	V383A	replicate3	induced	-0.019210427999301238
285	vSRC	V383A	replicate3	uninduced	-3.673998097984912e-06
286	vSRC	V383A	replicate4	induced	-0.019056795961948623
287	vSRC	V383A	replicate4	uninduced	-0.0005696738797818426
288	vSRC	V394A	replicate1	induced	-0.005234797251968842
289	vSRC	V394A	replicate1	uninduced	-0.00015018219269973768
290	vSRC	V394A	replicate2	induced	-0.005706871115142386
291	vSRC	V394A	replicate2	uninduced	4.187034332529262e-05
292	vSRC	V394A	replicate3	induced	-0.00587057280801649
293	vSRC	V394A	replicate3	uninduced	-0.001181986884256026
294	vSRC	V394A	replicate4	induced	-0.0059502849401247586
295	vSRC	V394A	replicate4	uninduced	-0.0005931357571911121
296	vSRC	dead	replicate1	induced	0.0019123345390588925
297	vSRC	dead	replicate1	uninduced	0.0011183091278517444
298	vSRC	dead	replicate2	induced	0.0018373366766521882
299	vSRC	dead	replicate2	uninduced	0.0009616091368542869
300	vSRC	dead	replicate3	induced	0.0015655214748586852
301	vSRC	dead	replicate3	uninduced	-0.00023543075253858856
302	vSRC	dead	replicate4	induced	0.0014862892768198088
303	vSRC	dead	replicate4	uninduced	0.0003125514531505307
304	vSRC	wt	replicate1	induced	-0.0063220548089288585
305	vSRC	wt	replicate1	uninduced	0.0012777793205150409
306	vSRC	wt	replicate2	induced	-0.006068976185995298
307	vSRC	wt	replicate2	uninduced	0.0006704986176752186
308	vSRC	wt	replicate3	induced	-0.012795834618056915
309	vSRC	wt	replicate3	uninduced	-0.00019412403703125886
310	vSRC	wt	replicate4	induced	-0.006063503446114122
311	vSRC	wt	replicate4	uninduced	-0.0002089882687580815
