	sample name	sample type	replicate#	induction	selection coefficient
0	ABL1	dead	replicate1	induced	-0.0005652448169565262
1	ABL1	dead	replicate1	uninduced	0.0003105614573328348
2	ABL1	dead	replicate2	induced	-0.00047918589514860886
3	ABL1	dead	replicate2	uninduced	0.0006834001903386882
4	ABL1	dead	replicate3	induced	0.0008835595586959104
5	ABL1	dead	replicate3	uninduced	0.0006716545863100936
6	ABL1	dead	replicate4	induced	0.0005788964031486437
7	ABL1	dead	replicate4	uninduced	0.0003725458464490659
8	ABL1	wt	replicate1	induced	-0.0011388934181651934
9	ABL1	wt	replicate1	uninduced	0.0002479775257584511
10	ABL1	wt	replicate2	induced	-0.0007293256865534043
11	ABL1	wt	replicate2	uninduced	0.00011967630146820364
12	ABL1	wt	replicate3	induced	-0.0002588674071830581
13	ABL1	wt	replicate3	uninduced	-0.00017842054459961282
14	ABL1	wt	replicate4	induced	-0.0009316190734148317
15	ABL1	wt	replicate4	uninduced	-0.0007781539595067518
16	ABL2	dead	replicate1	induced	-0.0010082295152471412
17	ABL2	dead	replicate1	uninduced	-7.396880056363159e-05
18	ABL2	dead	replicate2	induced	-0.0011414346353471772
19	ABL2	dead	replicate2	uninduced	-0.0005627939310718299
20	ABL2	dead	replicate3	induced	0.00047478105439865346
21	ABL2	dead	replicate3	uninduced	-4.291212130944974e-05
22	ABL2	dead	replicate4	induced	-0.0005577811375426163
23	ABL2	dead	replicate4	uninduced	0.00030282936680185957
24	ABL2	wt	replicate1	induced	-0.0006050167583736335
25	ABL2	wt	replicate1	uninduced	-0.0005326819095606206
26	ABL2	wt	replicate2	induced	-0.0015812937742687282
27	ABL2	wt	replicate2	uninduced	-0.002387797870732862
28	ABL2	wt	replicate3	induced	0.00035242717463196996
29	ABL2	wt	replicate3	uninduced	-0.0009047018441438624
30	ABL2	wt	replicate4	induced	-0.0018698070867339454
31	ABL2	wt	replicate4	uninduced	-0.005098586764228935
32	BMX	dead	replicate1	induced	-0.0010997970198633239
33	BMX	dead	replicate1	uninduced	-0.000251804310596301
34	BMX	dead	replicate2	induced	-0.0012655223088612981
35	BMX	dead	replicate2	uninduced	-0.000351602679795401
36	BMX	dead	replicate3	induced	0.0008717299362778233
37	BMX	dead	replicate3	uninduced	0.0006659653861984764
38	BMX	dead	replicate4	induced	-0.0012361515316167818
39	BMX	dead	replicate4	uninduced	-0.00026602026086554526
40	BMX	wt	replicate1	induced	-0.0006789784707054748
41	BMX	wt	replicate1	uninduced	0.0004577572807323118
42	BMX	wt	replicate2	induced	-0.0006275483627055038
43	BMX	wt	replicate2	uninduced	0.0004937637171836002
44	BMX	wt	replicate3	induced	0.0006207281871322759
45	BMX	wt	replicate3	uninduced	-0.00021053378343028833
46	BMX	wt	replicate4	induced	-0.0013911034555398759
47	BMX	wt	replicate4	uninduced	-0.005322599415148
48	FES	dead	replicate1	induced	-0.001285314546948187
49	FES	dead	replicate1	uninduced	-0.0002149973986813133
50	FES	dead	replicate2	induced	-0.001272005114146028
51	FES	dead	replicate2	uninduced	-0.0004042731778785835
52	FES	dead	replicate3	induced	0.0006333872779476388
53	FES	dead	replicate3	uninduced	-0.00012764730253571075
54	FES	dead	replicate4	induced	0.00191636511404324
55	FES	dead	replicate4	uninduced	0.0014866951350279403
56	FES	wt	replicate1	induced	-0.001483925742667102
57	FES	wt	replicate1	uninduced	0.0002071142287017512
58	FES	wt	replicate2	induced	-0.001271680135090974
59	FES	wt	replicate2	uninduced	0.0005548022613743753
60	FES	wt	replicate3	induced	0.00016508478898080928
61	FES	wt	replicate3	uninduced	-5.212045621287558e-05
62	FES	wt	replicate4	induced	-0.000396033706776947
63	FES	wt	replicate4	uninduced	1.1118877203838082e-05
64	FRK	dead	replicate1	induced	-0.0025148913288902857
65	FRK	dead	replicate1	uninduced	-0.001205817957009889
66	FRK	dead	replicate2	induced	-0.0007054343979700413
67	FRK	dead	replicate2	uninduced	-4.308757288058443e-05
68	FRK	dead	replicate3	induced	-0.000443323703654773
69	FRK	dead	replicate3	uninduced	-0.00016664157057631003
70	FRK	dead	replicate4	induced	-0.0029817832665110094
71	FRK	dead	replicate4	uninduced	-0.0008348604086473017
72	FRK	wt	replicate1	induced	-0.005167167972858536
73	FRK	wt	replicate1	uninduced	-0.001437067889697845
74	FRK	wt	replicate2	induced	-0.00703887763711947
75	FRK	wt	replicate2	uninduced	0.00036327017095485824
76	FRK	wt	replicate3	induced	-0.007808452084225331
77	FRK	wt	replicate3	uninduced	-0.0006366078028025517
78	FRK	wt	replicate4	induced	0.005122213419546227
79	FRK	wt	replicate4	uninduced	0.0008989728522380287
80	LCK	dead	replicate1	induced	-0.0009425910203035878
81	LCK	dead	replicate1	uninduced	-0.00048644010238038703
82	LCK	dead	replicate2	induced	-0.0010191217010719338
83	LCK	dead	replicate2	uninduced	-0.0003547992214871995
84	LCK	dead	replicate3	induced	0.0009689154649460351
85	LCK	dead	replicate3	uninduced	0.0006347369855002162
86	LCK	dead	replicate4	induced	0.0008042296490581209
87	LCK	dead	replicate4	uninduced	0.0014250671883602201
88	LCK	wt	replicate1	induced	-0.0012271647607895253
89	LCK	wt	replicate1	uninduced	-0.0008384387779144365
90	LCK	wt	replicate2	induced	-0.001319841541752382
91	LCK	wt	replicate2	uninduced	-0.00045507401687029626
92	LCK	wt	replicate3	induced	-0.00042123827873204606
93	LCK	wt	replicate3	uninduced	-0.001002307879073962
94	LCK	wt	replicate4	induced	0.0030909315643260966
95	LCK	wt	replicate4	uninduced	-0.0020883818589328305
96	SRMS	dead	replicate1	induced	-0.0009574703521986709
97	SRMS	dead	replicate1	uninduced	-0.0007993756900743544
98	SRMS	dead	replicate2	induced	-0.0013437194105887186
99	SRMS	dead	replicate2	uninduced	-0.0008645852455493943
100	SRMS	dead	replicate3	induced	0.0006673279859219666
101	SRMS	dead	replicate3	uninduced	0.0002613488087903196
102	SRMS	dead	replicate4	induced	0.002030872424890821
103	SRMS	dead	replicate4	uninduced	0.0050304693541528235
104	SRMS	wt	replicate1	induced	-0.0012951047904377509
105	SRMS	wt	replicate1	uninduced	-0.00036587034888823484
106	SRMS	wt	replicate2	induced	-0.0012985523240876353
107	SRMS	wt	replicate2	uninduced	-0.0007489353747195486
108	SRMS	wt	replicate3	induced	9.641586976069397e-05
109	SRMS	wt	replicate3	uninduced	3.266630052652826e-05
110	SRMS	wt	replicate4	induced	-0.002010709167248375
111	SRMS	wt	replicate4	uninduced	0.00031039651083430736
112	TEC	dead	replicate1	induced	-0.0010812036056113427
113	TEC	dead	replicate1	uninduced	-0.0009012261741033561
114	TEC	dead	replicate2	induced	-0.0011366416364416313
115	TEC	dead	replicate2	uninduced	-0.0008983708895831445
116	TEC	dead	replicate3	induced	0.000922465782947619
117	TEC	dead	replicate3	uninduced	0.0005306661608525951
118	TEC	dead	replicate4	induced	0.0005600735620942289
119	TEC	dead	replicate4	uninduced	0.0013509542323101175
120	TEC	wt	replicate1	induced	-0.0014177035094240828
121	TEC	wt	replicate1	uninduced	-0.0012999572426593696
122	TEC	wt	replicate2	induced	-0.0012049801582736832
123	TEC	wt	replicate2	uninduced	-0.0006000451327517107
124	TEC	wt	replicate3	induced	0.0005577591217719632
125	TEC	wt	replicate3	uninduced	-0.00043485663567443823
126	TEC	wt	replicate4	induced	-0.0013553727014140632
127	TEC	wt	replicate4	uninduced	-0.0014906133028280916
128	TNK1	dead	replicate1	induced	-0.0015480816198991576
129	TNK1	dead	replicate1	uninduced	-0.0008045010849867222
130	TNK1	dead	replicate2	induced	-0.0012132694894708214
131	TNK1	dead	replicate2	uninduced	-0.0006324438310713781
132	TNK1	dead	replicate3	induced	0.0003277243387127775
133	TNK1	dead	replicate3	uninduced	0.0004105966795020348
134	TNK1	dead	replicate4	induced	-0.0021965223250516113
135	TNK1	dead	replicate4	uninduced	-0.0001447148676359619
136	TNK1	wt	replicate1	induced	-0.0011351828535552352
137	TNK1	wt	replicate1	uninduced	-0.0006851631650977071
138	TNK1	wt	replicate2	induced	-0.000964412709935767
139	TNK1	wt	replicate2	uninduced	-0.00048210718367827274
140	TNK1	wt	replicate3	induced	0.0009296272683283024
141	TNK1	wt	replicate3	uninduced	0.0006535422319130785
142	TNK1	wt	replicate4	induced	-0.0008144299610506116
143	TNK1	wt	replicate4	uninduced	-0.0011663735435280239
144	FYN	dead	replicate1	induced	0.0014902720355627398
145	FYN	dead	replicate1	uninduced	0.00043707051375573957
146	FYN	dead	replicate2	induced	0.0012205857417395948
147	FYN	dead	replicate2	uninduced	3.288028261953734e-05
148	FYN	dead	replicate3	induced	0.0013087370524201604
149	FYN	dead	replicate3	uninduced	-0.00035124919661311824
150	FYN	dead	replicate4	induced	0.0010945257581049745
151	FYN	dead	replicate4	uninduced	-0.0007336502300017104
152	FYN	wt	replicate1	induced	-0.007574033079976718
153	FYN	wt	replicate1	uninduced	0.00018859123909257996
154	FYN	wt	replicate2	induced	-0.011739638958921977
155	FYN	wt	replicate2	uninduced	2.4195110606603976e-05
156	FYN	wt	replicate3	induced	-0.01517357770733165
157	FYN	wt	replicate3	uninduced	-0.0006239911450411357
158	FYN	wt	replicate4	induced	-0.01511547059992574
159	FYN	wt	replicate4	uninduced	-0.000738561513827219
160	LYN	dead	replicate1	induced	-0.00024543994163229456
161	LYN	dead	replicate1	uninduced	-0.0020275632092402966
162	LYN	dead	replicate2	induced	-0.00018027213760650002
163	LYN	dead	replicate2	uninduced	-0.0023027744828805654
164	LYN	dead	replicate3	induced	-0.0006181960472531543
165	LYN	dead	replicate3	uninduced	-0.0030701937098055014
166	LYN	dead	replicate4	induced	-0.0005239147347344469
167	LYN	dead	replicate4	uninduced	-0.0023651216975634306
168	LYN	wt	replicate1	induced	-0.0038188925121604126
169	LYN	wt	replicate1	uninduced	-0.00024356257672256953
170	LYN	wt	replicate2	induced	-0.004490058237733984
171	LYN	wt	replicate2	uninduced	-0.00034376378573523157
172	LYN	wt	replicate3	induced	-0.004139887175871047
173	LYN	wt	replicate3	uninduced	-0.0007667747708261265
174	LYN	wt	replicate4	induced	-0.004541395988710763
175	LYN	wt	replicate4	uninduced	-0.0005759132992027562
176	SRC	dead	replicate1	induced	0.0016077617871142096
